Date,Affected pages
2026-03-24,25
2026-03-25,26
2026-03-26,26
2026-03-27,26
2026-03-28,26
2026-03-29,28
2026-03-30,28
2026-03-31,28
2026-04-01,27
2026-04-02,27
2026-04-03,27
2026-04-04,27
2026-04-05,27
2026-04-06,27
2026-04-07,30
2026-04-08,30
2026-04-09,30
2026-04-10,30
2026-04-11,39
2026-04-12,39
2026-04-13,39
2026-04-14,43
2026-04-15,43
2026-04-16,43
2026-04-17,43
2026-04-18,43
2026-04-19,43
2026-04-20,43
2026-04-21,48
2026-04-22,48
2026-04-23,48
2026-04-24,48
2026-04-25,54
2026-04-26,54
2026-04-27,54
2026-04-28,53
2026-04-29,53
2026-04-30,53
2026-05-01,53
2026-05-02,54
2026-05-03,54
2026-05-04,54
2026-05-05,54
2026-05-06,54
2026-05-07,54
2026-05-08,54
2026-05-09,55
2026-05-10,55
2026-05-11,55
2026-05-12,55
2026-05-13,55
2026-05-14,55
2026-05-15,55
2026-05-16,57
2026-05-17,57
2026-05-18,57
2026-05-19,56
2026-05-20,56
2026-05-21,56
2026-05-22,56
2026-05-23,63
2026-05-24,63
2026-05-25,63
2026-05-26,65
2026-05-27,65
2026-05-28,65
2026-05-29,65
2026-05-30,66
2026-05-31,66
2026-06-01,66
2026-06-02,67
2026-06-03,67
2026-06-04,67
2026-06-05,67
2026-06-06,63
2026-06-07,63
2026-06-08,63
2026-06-09,63
2026-06-10,63
2026-06-11,63
2026-06-12,63
